air_carrier_id_pk,airport_code,name,city,country
3286,MCA,Macenta Airport,Macenta,Guinea
3287,MCB,McComb/Pike County/John E. Lewis Field,McComb,United States
3288,MCC,McClellan Airfield,Sacramento,United States
3289,MCD,Mackinac Island Airport,Mackinac Island,United States
3290,MCE,Merced Regional/Macready Field,Merced,United States
3291,MCF,Macdill AFB,Tampa,United States
3292,MCG,McGrath Airport,McGrath,United States
3293,MCH,General Manuel Serrano,Machala,Ecuador
3294,MCI,Kansas City International,Kansas City,United States
3295,MCJ,Maicao Airport,Maicao,Colombia
3296,MCK,McCook Ben Nelson Regional,McCook,United States
3297,MCL,Denali,McKinley Park,United States
3298,MCM,Monaco Heloport,Monte Carlo,Monaco
3299,MCN,Middle Georgia Regional,Macon,United States
3300,MCO,Orlando International,Orlando,United States
3301,MCP,Alberto Alcolumbre,Macapa,Brazil
3302,MCR,Melchor de Mencos Airport,Melchor de Mencos,Guatemala
3303,MCS,Monte Caseros Airport,Monte Caseros,Argentina
3304,MCT,Muscat International,Muscat,Oman
3305,MCU,Gueret/Lepaud,Montlucon,France
3306,MCV,McArthur River Mine,McArthur River,Australia
3307,MCW,Mason City Municipal,Mason City,United States
3308,MCY,Sunshine Coast,Maroochydore,Australia
3309,MCZ,Zumbi Dos Palmares,Maceio,Brazil
3310,MD1,Freeway,Michellville,United States
3311,MD2,Maryland,Indian Head,United States
3312,MDA,Martindale AHP,San Antonio,United States
3313,MDB,Melinda Airport,Melinda,Belize
3314,MDC,Sam Ratulangi,Menado,Indonesia
3315,MDD,Midland Airpark,Midland/Odessa,United States
3316,MDE,Jose Maria Cordova,Medellin,Colombia
3317,MDF,Taylor County,Medford,United States
3318,MDG,Hailang,Mudanjiang,China
3319,MDH,Southern Illinois,Carbondale,United States
3320,MDI,Makurdi Airport,Makurdi,Nigeria
3321,MDJ,Madras Municipal,Madras,United States
3322,MDK,Mbandaka Airport,Mbandaka,Congo (Kinshasa)
3323,MDL,Mandalay International,Mandalay,Burma
3324,MDO,Middleton Island Airport,Middleton Island,United States
3325,MDQ,Mar del Plata Airport,Mar del Plata,Argentina
3326,MDR,Medfra Airport,Medfra,United States
3327,MDS,Conch Bar,Middle Caicos,Turks and Caicos Islands
3328,MDT,Harrisburg International,Harrisburg,United States
3329,MDU,Mendi Airport,Mendi,Papua New Guinea
3330,MDW,Chicago Midway International,Chicago,United States
3331,MDX,Mercedes Aeroclub,Mercedes,Argentina
3332,MDY,Sand Island Field,Midway Island,United States
3333,MDZ,El Plumerillo,Mendoza,Argentina
3334,ME1,Steven A. Bean Municipal,Rangeley,United States
3335,ME2,Islesboro Airport,Islesboro,United States
3336,ME3,Belfast Municipal,Belfast,United States
3337,ME4,Oxford County Regional,Oxford,United States
3338,ME5,Bethel Regional,Bethel,United States
3339,ME6,Cole Dyke,Bethel2,United States
3340,ME7,Stonington Municipal,Stonington,United States
3341,MEA,Macae Airport,Macae,Brazil
3342,MEB,Essendon,Melbourne,Australia
3343,MEC,Eloy Alfaro International,Manta,Ecuador
3344,MED,Prince Mohammad Bin Abdulaziz International,Medina,Saudi Arabia
3345,MEI,Key Field,Meridian,United States
3346,MEJ,Port Meadville,Meadville,United States
3347,MEL,Melbourne International,Melbourne,Australia
3348,MEM,Memphis International,Memphis,United States
3349,MEN,Mende Brenoux,Mende,France
3350,MEO,Dare County Regional,Manteo,United States
3351,MEP,Mersing Malay.,Mersing,Malaysia
3352,MEQ,Seunagan,Meulaboh,Indonesia
3353,MER,Castle,Atwater,United States
3354,MES,Polonia,Medan,Indonesia
3355,MEV,Minden-Tahoe,Minden,United States
3356,MEX,Licenciado Benito Juarez International,Mexico City,Mexico
3357,MEY,Meghauli Airport,Meghauli,Nepal
3358,MFA,Mafia,Mafia Island,Tanzania
3359,MFD,Mansfield Lahm Regional,Mansfield,United States
3360,MFE,McAllen Miller International,Mission/McAllen/Edinburg,United States
3361,MFF,Moanda Airport,Moanda,Gabon
3362,MFG,Muzaffarabad Airport,Muzaffarabad,Pakistan
3363,MFH,Mesquite Airport,Mesquite,United States
3364,MFI,Marshfield Municipal,Marshfield,United States
3365,MFM,Macau International,Macau,Macau
3366,MFN,Milford Sound Airport,Milford Sound,New Zealand
3367,MFQ,Maradi Airport,Maradi,Niger
3368,MFR,Rogue Valley International - Medford,Medford,United States
3369,MFS,Miraflores Airport,Miraflores,Colombia
3370,MFT,Mangham Field,Fort Worth,United States
3371,MFU,Mfuwe Airport,Mfuwe,Zambia
3372,MFV,Accomack County,Melfa,United States
3373,MGA,Augusto Cesar Sandino International,Managua,Nicaragua
3374,MGB,Mount Gambier Airport,Mount Gambier,Australia
3375,MGC,Michigan City Municipal Phillips Field,Michigan City,United States
3376,MGD,Magdalena Airport,Magdalena,Bolivia
3377,MGE,Dobbins ARB,Marietta,United States
3378,MGF,Silvio Name Junior,Maringa,Brazil
3379,MGJ,Orange County,Montgomery,United States
3380,MGL,Moenchengladbach,Dusseldorf,Germany
3381,MGM,Montgomery Regional,Montgomery,United States
3382,MGN,Magangue Airport,Magangue,Colombia
3383,MGQ,Aden Adde International,Mogadishu,Somalia
3384,MGR,Moultrie/Thomasville Airport,Moultrie/Thomasville,United States
3385,MGS,Mangaia Cook Island,Mangaia,Cook Islands
3386,MGW,Morgantown Municipal-Walter L. Bill Hart Field,Morgantown,United States
3387,MGY,Dayton-Wright Brothers,Dayton,United States
3388,MHA,Mahdia Airport,Mahdia,Guyana
3389,MHC,Mocopulli,Dalcahue,Chile
3390,MHD,Shahid Hashemi Nejad International,Mashhad,Iran
3391,MHE,Mitchell Municipal,Mitchell,United States
3392,MHG,Mannheim City,Mannheim,Germany
3393,MHH,Leonard M Thompson International,Marsh Harbour,The Bahamas
3394,MHK,Manhattan Regional,Manhattan/Ft. Riley,United States
3395,MHL,Marshall Memorial Municipal,Marshall,United States
3396,MHM,Minchumina Airport,Minchumina,United States
3397,MHO,Mount House Airport,Mount House,Australia
3398,MHQ,Mariehamn Airport,Mariehamn,Finland
3399,MHR,Sacramento Mather,Sacramento,United States
3400,MHT,Manchester-Boston Regional,Manchester,United States
3401,MHV,Mojave Air and Space Port,Mojave,United States
3402,MHZ,Mildenhall Airport,Mildenhall,United Kingdom
3403,MI1,Greenville Municipal,Greenville,United States
3404,MI2,West Michigan Regional,Holland,United States
3405,MI3,Livingston County Spencer J. Hardy,Howell,United States
3406,MI4,Frankfort Dow Memorial Field,Frankfort,United States
3407,MI5,Boyne Mountain,Boyne Falls,United States
3408,MI6,Dowagiac Municipal,Dowagiac,United States
3409,MI7,South Haven Area Regional,South Haven,United States
3410,MIA,Miami International,Miami,United States
3411,MIB,Minot AFB,Minot,United States
3412,MIC,Crystal,Minneapolis,United States
3413,MID,Licenciado Manuel Crescencio Rejon International,Merida,Mexico
3414,MIE,Delaware County Regional,Muncie/Anderson/Newcastle,United States
3415,MII,Frank Miloye Milenkovich,Marilia,Brazil
3416,MIJ,Mili Airport,Mili,Marshall Islands
3417,MIK,Mikkeli Airport,Mikkeli,Finland
3418,MIL,Milan Metropolitan Area,Milan,Italy
3419,MIM,Merimbula Airport,Merimbula,Australia
3420,MIN,Minnipa Airport,Minnipa,Australia
3421,MIO,Miami Regional,Miami,United States
3422,MIP,Har Arikha,Mitspeh Ramon,Israel
3423,MIQ,Millard,Omaha,United States
3424,MIR,Habib Bourguiba International,Monastir,Tunisia
3425,MIS,Misima,Misima Island,Papua New Guinea
3426,MIT,Shafter - Minter Field,Shafter,United States
3427,MIU,Maiduguri Airport,Maiduguri,Nigeria
3428,MIV,Millville Municipal,Millville,United States
3429,MIW,Marshalltown Municipal,Marshalltown,United States
3430,MIX,Miriti Pirana,Miriti,Colombia
3431,MIZ,Mainoru Airport,Mainoru,Australia
3432,MJA,Manja Airport,Manja,Madagascar
3433,MJB,Mejit,Mejit Island,Marshall Islands
3434,MJC,Man Airport,Man,Cote d'Ivoire
3435,MJD,Moenjodaro Airport,Moenjodaro,Pakistan
3436,MJF,Kjaerstad,Mosjoen,Norway
3437,MJG,Mayajigua Airport,Mayajigua,Cuba
3438,MJI,Mitiga International,Mitiga,Libya
3439,MJL,Mouila Airport,Mouila,Gabon
3440,MJM,Mbuji Mayi,Mbuji-Mayi,Congo (Kinshasa)
3441,MJN,Philibert Tsiranana,Majunga,Madagascar
3442,MJQ,Jackson Airport,Jackson,United States
3443,MJT,Mitilini,Mytilene,Greece
3444,MJV,Murcia San Javier,Murcia,Spain
3445,MJX,Ocean County,Toms River,United States
3446,MJZ,Mirny Airport,Mirny,Russia
3447,MKA,Marianske Lazne Airport,Marianske Lazne,Czech Republic
3448,MKC,Charles B. Wheeler Downtown,Kansas City,United States
3449,MKE,General Mitchell International,Milwaukee,United States
3450,MKG,Muskegon County,Muskegon,United States
3451,MKI,Obo Mboki Airport,Obo Mboki,Central African Republic
3452,MKJ,Makoua Airport,Makoua,Congo (Brazaville)
3453,MKK,Molokai,Hoolehua,United States
3454,MKL,McKellar-Sipes Regional,Jackson,United States
3455,MKM,Mukah Airport,Mukah,Malaysia
3456,MKO,Muskogee Davis Regional,Muskogee,United States
3457,MKP,Makemo Airport,Makemo,French Polynesia
3458,MKR,Meekatharra Airport,Meekatharra,Australia
3459,MKS,Mekane Selam Airport,Mekane Selam,Ethiopia
3460,MKT,Mankato Regional,Mankato,United States
3461,MKU,Makokou Airport,Makokou,Gabon
3462,MKW,Rendani,Manokwari,Indonesia
3463,MKY,Mackay Airport,Mackay,Australia
3464,MKZ,Malacca Airport,Malacca,Malaysia
3465,MLA,Luqa International,Malta,Malta
3466,MLB,Melbourne International,Melbourne,United States
3467,MLC,McAlester Regional,McAlester,United States
3468,MLD,Malad City Airport,Malad City,United States
3469,MLE,Velana International,Male,Maldives
3470,MLF,Milford Municipal/Ben and Judy Briscoe Field,Milford,United States
3471,MLG,Abdul Rachman Saleh,Malang,Indonesia
3472,MLH,EuroAirport,Mulhouse,France
3473,MLI,Quad City International,Moline,United States
3474,MLK,Malta Airport,Malta,United States
3475,MLL,Marshall Don Hunter Sr.,Marshall,United States
3476,MLM,General Francisco J. Mujica International,Morelia,Mexico
3477,MLN,Melilla Airport,Melilla,Spain
3478,MLO,Milos Airport,Milos,Greece
3479,MLP,Malabang Airport,Malabang,Philippines
3480,MLQ,Malalaua Airport,Malalaua,Papua New Guinea
3481,MLS,Frank Wiley Field,Miles City,United States
3482,MLT,Millinocket Municipal,Millinocket,United States
3483,MLU,Monroe Regional,Monroe,United States
3484,MLV,Merluna Airport,Merluna,Australia
3485,MLW,Monrovia Spriggs Payne,Monrovia,Liberia
3486,MLX,Malatya Airport,Malatya,Turkey
3487,MLY,Manley Hot Springs Airport,Manley Hot Springs,United States
3488,MLZ,Melo Airport,Melo,Uruguay
3489,MMA,Malmo Metropolitan Area,Malmo,Sweden
3490,MMB,Memanbetsu Airport,Memanbetsu,Japan
3491,MMC,Cuauhtemoc,Ciudad Mante,Mexico
3492,MMD,Minami Daito Airport,Minami Daito,Japan
3493,MME,Durham Tees Valley,Darlington,United Kingdom
3494,MMH,Mammoth Lakes Airport,Mammoth Lakes,United States
3495,MMI,McMinn County,Athens,United States
3496,MMJ,Matsumoto Airport,Matsumoto,Japan
3497,MMK,Murmansk Airport,Murmansk,Russia
3498,MML,Southwest Minnesota Regional-Marshall/Ryan Field,Marshall,United States
3499,MMM,Middlemount Airport,Middlemount,Australia
3500,MMN,Minute Man Air Field,Stow,United States
3501,MMP,Mompos Airport,Mompos,Colombia
3502,MMQ,Mbala Airport,Mbala,Zambia
3503,MMT,McEntire Jngb,Columbia,United States
3504,MMU,Morristown Municipal,Morristown,United States
3505,MMX,Malmo Airport,Malmo,Sweden
3506,MMY,Miyako,Miyakojima,Japan
3507,MN1,Fosston Municipal,Fosston,United States
3508,MN2,Moose Lake Carlton County,Moose Lake,United States
3509,MN3,Ortonville Municipal-Martinson Field,Ortonville,United States
3510,MN4,Wadena Municipal,Wadena,United States
3511,MN5,Red Wing Regional,Red Wing,United States
3512,MN6,Hallock Municipal,Hallock,United States
3513,MN7,Anoka County Blaine,Minneapolis,United States
3514,MNB,Muanda,Moanda,Congo (Kinshasa)
3515,MNC,Nacala International,Nacala,Mozambique
3516,MNI,John A Osborne,Montserrat,Montserrat
3517,MNK,Maiana Airport,Maiana,Kiribati
3518,MNL,Ninoy Aquino International,Manila,Philippines
3519,MNM,Menominee-Marinette Twin County,Marinette,United States
3520,MNN,Marion Municipal,Marion,United States
3521,MNO,Manono Airport,Manono,Congo (Kinshasa)
3522,MNR,Mongu Airport,Mongu,Zambia
3523,MNS,Mansa Airport,Mansa,Zambia
3524,MNT,Minto Al Wright,Minto,United States
3525,MNU,Mawlamyine Airport,Mawlamyine,Burma
3526,MNX,Manicore Airport,Manicore,Brazil
3527,MNZ,Manassas Regional/Harry P. Davis Field,Manassas,United States
3528,MO1,Midwest National Air Center,Mosby,United States
3529,MO2,Washington Regional,Washington,United States
3530,MO3,Richland Municipal,Richland,United States
3531,MOA,Orestes Acosta,Moa,Cuba
3532,MOB,Mobile Regional,Mobile,United States
3533,MOC,Mario Ribeiro,Montes Claros,Brazil
3534,MOD,Modesto City-County-Harry Sham Field,Modesto,United States
3535,MOG,Mong Hsat Airport,Mong Hsat,Burma
3536,MOL,Aro,Molde,Norway
3537,MOM,Moudjeria Ledfotar,Moudjeria,Mauritania
3538,MON,Mount Cook Airport,Mount Cook,New Zealand
3539,MOP,Mount Pleasant Municipal,Mount Pleasant,United States
3540,MOQ,Morondava Airport,Morondava,Madagascar
3541,MOR,Moore-Murrell,Morristown,United States
3542,MOS,Moses Point Airport,Moses Point,United States
3543,MOT,Minot International,Minot,United States
3544,MOU,Mountain Village Airport,Mountain Village,United States
3545,MOV,Moranbah Airport,Moranbah,Australia
3546,MOW,Moscow Metropolitan Area,Moscow,Russia
3547,MOY,Monterrey Airport,Monterrey,Colombia
3548,MOZ,Temae,Moorea Island,French Polynesia
3549,MPB,Watson Island International,Miami,United States
3550,MPE,Griswold,Madison,United States
3551,MPI,Mamitupo Airport,Mamitupo,Panama
3552,MPJ,Petit Jean Park,Morrilton,United States
3553,MPK,Mokpo Airport,Mokpo,South Korea
3554,MPL,Montpellier Mediterranee,Montpellier,France
3555,MPM,Maputo Airport,Maputo,Mozambique
3556,MPN,Mount Pleasant Airport,Mount Pleasant,Falkland Islands (Islas Malvinas)
3557,MPO,Pocono Mountains Municipal,Mt. Pocono,United States
3558,MPR,McPherson Airport,McPherson,United States
3559,MPS,Mount Pleasant Municipal,Mount Pleasant,United States
3560,MPT,Maliana Airport,Maliana,Timor-Leste
3561,MPV,Edward F Knapp State,Montpelier/Barre,United States
3562,MPX,Miyanmin Airport,Miyanmin,Papua New Guinea
3563,MQB,Macomb Municipal,Macomb,United States
3564,MQI,Quincy Airport,Quincy,United States
3565,MQJ,Indianapolis Regional,Indianapolis,United States
3566,MQL,Mildura Airport,Mildura,Australia
3567,MQM,Mardin Airport,Mardin,Turkey
3568,MQN,Rossvoll,Mo I Rana,Norway
3569,MQP,Kruger Mpumalanga International,Nelspruit,South Africa
3570,MQQ,Moundou Airport,Moundou,Chad
3571,MQS,Mustique Airport,Mustique,Saint Vincent and the Grenadines
3572,MQT,Sawyer International,Marquette,United States
3573,MQX,Mek'ele Airport,Mek'ele,Ethiopia
3574,MQY,Smyrna Airport,Smyrna,United States
3575,MRA,Misrata International,Misurata,Libya
3576,MRB,Eastern WV Regional/Shepherd Field,Martinsburg,United States
3577,MRC,Maury County,Columbia,United States
3578,MRD,Alberto Carnevalli,Merida,Venezuela
3579,MRF,Marfa Municipal,Marfa,United States
3580,MRH,Beaufort Morehead City,Morehead City,United States
3581,MRI,Merrill Field,Anchorage,United States
3582,MRK,Marco Island Airport,Marco Island,United States
3583,MRN,Morganton Lenoir,Morganton,United States
3584,MRO,Masterton Airport,Masterton,New Zealand
3585,MRQ,Marinduque Airport,Marinduque,Philippines
3586,MRS,Marseille Provence,Marseille,France
3587,MRU,Sir Seewoosagur Ramgoolam International,Mauritius Island,Mauritius
3588,MRV,Mineralnyye Vody Airport,Mineralnyye Vody,Russia
3589,MRX,Del Caribe International,Margarita Island,Venezuela
3590,MRY,Monterey Regional,Monterey,United States
3591,MRZ,Moree Airport,Moree,Australia
3592,MS1,Grenada Municipal,Grenada,United States
3593,MS2,Picayune Municipal,Picayune,United States
3594,MS3,Philadelphia Municipal,Philadelphia,United States
3595,MS4,Panola County,Batesville,United States
3596,MSA,Muskrat Dam Airport,Muskrat Dam,Canada
3597,MSC,Falcon Field,Mesa,United States
3598,MSE,Manston Airport,Manston,United Kingdom
3599,MSH,Masirah Airport,Masirah,Oman
3600,MSJ,Misawa AB,Misawa,Japan
3601,MSL,Northwest Alabama Regional,Muscle Shoals,United States
3602,MSN,Dane County Regional-Truax Field,Madison,United States
3603,MSO,Missoula International,Missoula,United States
3604,MSP,Minneapolis-St Paul International,Minneapolis,United States
3605,MSQ,Minsk 2,Minsk,Belarus
3606,MSR,Munster/Osnabruck International,Greven,West Germany
3607,MSS,Massena International-Richards Field,Massena,United States
3608,MST,Maastricht Aachen,Maastricht,Netherlands
3609,MSU,Moshoeshoe I International,Maseru,Lesotho
3610,MSV,Sullivan County International,Monticello,United States
3611,MSW,Massawa International,Massawa,Eritrea
3612,MSY,Louis Armstrong New Orleans International,New Orleans,United States
3613,MSZ,Yuri Gagarin,Namibe,Angola
3614,MT1,Colstrip Airport,Colstrip,United States
3615,MT2,Three Forks Airport,Three Forks,United States
3616,MTC,Selfridge Angb,Mt. Clemens,United States
3617,MTD,Mount Sanford Station,Mt. Sandford,Australia
3618,MTE,Monte Alegre Airport,Monte Alegre,Brazil
3619,MTH,The Florida Keys Marathon International,Marathon,United States
3620,MTJ,Montrose Regional,Montrose/Delta,United States
3621,MTL,Maitland Airport,Maitland,Australia
3622,MTM,Metlakatala,Metlakatla,United States
3623,MTN,Martin State,Baltimore,United States
3624,MTO,Coles County Memorial,Mattoon/Charleston,United States
3625,MTP,Sky Portal,Montauk Point,United States
3626,MTR,Los Garzones,Monteria,Colombia
3627,MTS,Matsapha,Manzini,Swaziland
3628,MTT,Minatitlan Airport,Minatitlan,Mexico
3629,MTV,Mota Lava Airport,Mota Lava,Vanuatu
3630,MTW,Manitowoc County,Manitowoc,United States
3631,MTX,Metro Field,Fairbanks,United States
3632,MTY,General Mariano Escobedo International,Monterrey,Mexico
3633,MTZ,Israel Bar Yehuda,Masada,Israel
3634,MUA,Munda Airport,Munda,Solomon Islands
3635,MUB,Maun Airport,Maun,Botswana
3636,MUC,Muenchen,Munich,Germany
3637,MUE,Waimea-Kohala,Kamuela,United States
3638,MUG,Mulege Airport,Mulege,Mexico
3639,MUH,Mersa Matruh Airport,Mersa Matruh,Egypt
3640,MUL,Spence,Moultrie,United States
3641,MUN,Jose Tadeo Monagas International,Maturin,Venezuela
3642,MUO,Mountain Home AFB,Mountain Home,United States
3643,MUR,Marudi Airport,Marudi,Malaysia
3644,MUT,Muscatine Municipal,Muscatine,United States
3645,MUX,Multan International,Multan,Pakistan
3646,MUZ,Musoma Airport,Musoma,Tanzania
3647,MVB,Mvengue Airport,Mvengue,Gabon
3648,MVC,Monroe County Aeroplex,Monroeville,United States
3649,MVD,Carrasco International,Montevideo,Uruguay
3650,MVF,Dixsept Rosado,Mossoro,Brazil
3651,MVJ,Marlboro,Mandeville,Jamaica
3652,MVL,Morrisville Stowe State,Morrisville,United States
3653,MVM,Kayenta Airport,Kayenta,United States
3654,MVN,Mount Vernon Airport,Mount Vernon,United States
3655,MVR,Salak,Maroua,Cameroon
3656,MVW,Skagit Regional,Burlington/Mount Vernon,United States
3657,MVY,Martha's Vineyard Airport,Martha's Vineyard,United States
3658,MVZ,Masvingo International,Masvingo,Zimbabwe
3659,MWA,Veterans Airport of Southern Illinois,Marion/Herrin,United States
3660,MWC,Lawrence J Timmerman,Milwaukee,United States
3661,MWD,Mianwali Airport,Mianwali,Pakistan
3662,MWH,Grant County International,Moses Lake,United States
3663,MWL,Mineral Wells Airport,Mineral Wells,United States
3664,MWM,Windom Municipal,Windom,United States
3665,MWO,Middletown Regional/Hook Field,Middletown,United States
3666,MWQ,Magway,Magwe,Burma
3667,MWX,Muan International,Muan,South Korea
3668,MWZ,Mwanza Airport,Mwanza,Tanzania
3669,MXB,Andi Jemma,Masamba,Indonesia
3670,MXC,Monticello Airport,Monticello,United States
3671,MXE,Laurinburg-Maxton,Maxton,United States
